date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:16:09	105717/105717	---M-Z	200	added ('OK')	text/html	etag:%2219cf5-5a0253b23f680-gzip%22	http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html	(from )
21:16:09	282/282	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2029%20Nov%202021%2020:16:10%20GMT	http://themes.lucky-roo.com/robots.txt		(from )
21:16:10	160334/160334	---M-Z	200	added ('OK')	text/css	etag:%222724e-5ac4d14625080-gzip%22	http://themes.lucky-roo.com/berg-v3.4/html/assets/css/bootstrap.min.css	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/assets/css/bootstrap.min.css	(from http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html)
21:16:10	96609/96609	---M-Z	200	added ('OK')	text/css	etag:%2217961-559a097349b80-gzip%22	http://themes.lucky-roo.com/berg-v3.4/html/assets/css/icons-mind.css	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/assets/css/icons-mind.css	(from http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html)
21:16:11	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%227918-559a097349b80-gzip%22	http://themes.lucky-roo.com/berg-v3.4/html/assets/css/font-awesome.min.css	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/assets/css/font-awesome.min.css	(from http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html)
21:16:11	7241/7241	---M-Z	200	added ('OK')	text/css	etag:%221c49-559a097349b80-gzip%22	http://themes.lucky-roo.com/berg-v3.4/html/assets/css/magnific-popup.css	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/assets/css/magnific-popup.css	(from http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html)
21:16:11	6866/6866	---M-Z	200	added ('OK')	text/css	etag:%221ad2-559a097349b80-gzip%22	http://themes.lucky-roo.com/berg-v3.4/html/assets/css/flexslider.css	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/assets/css/flexslider.css	(from http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html)
21:16:12	1857/1857	---M-Z	200	added ('OK')	text/css	etag:%22741-559a097349b80-gzip%22	http://themes.lucky-roo.com/berg-v3.4/html/assets/css/flickity.min.css	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/assets/css/flickity.min.css	(from http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html)
21:16:12	37692/37692	---M-Z	200	added ('OK')	text/css	etag:%22933c-559a097349b80-gzip%22	http://themes.lucky-roo.com/berg-v3.4/html/assets/css/theme.min.css	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/assets/css/theme.min.css	(from http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html)
21:16:12	6425/6425	---M-Z	200	added ('OK')	text/css	etag:%221919-559a097349b80-gzip%22	http://themes.lucky-roo.com/berg-v3.4/html/assets/css/style.css	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/assets/css/style.css	(from http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html)
21:16:13	821/821	---M-Z	200	added ('OK')	text/css	etag:%22335-559a097349b80-gzip%22	http://themes.lucky-roo.com/berg-v3.4/html/assets/css/color_pink.css	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/assets/css/color_pink.css	(from http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html)
21:16:13	2086/2086	---M-Z	200	added ('OK')	text/css	etag:%22826-559a401d81400-gzip%22	http://themes.lucky-roo.com/berg-v3.4/html/assets/css/switch_style.css	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/assets/css/switch_style.css	(from http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html)
21:16:16	51522/51522	---M--	200	added ('OK')	image/jpeg	etag:%22c942-559a0cfb5f080%22	http://themes.lucky-roo.com/berg-v3.4/html/assets/images/profile-picture-1.jpg	F:/temp/te/themes.lucky-roo.com/berg-v3.4/html/assets/images/profile-picture-1.jpg	(from http://themes.lucky-roo.com/berg-v3.4/html/home-bg-slider.html)
